NUM_POSTE	NOM_USUEL	LAT	LON	ALTI	AAAAMMJJ	RR	QRR	TN	QTN	HTN	QHTN	TX	QTX	HTX	QHTX	TM	QTM	TNTXM	QTNTXM	TAMPLI	QTAMPLI	TNSOL	QTNSOL	TN50	QTN50	DG	QDG	FFM	QFFM	FF2M	QFF2M	FXY	QFXY	DXY	QDXY	HXY	QHXY	FXI	QFXI	DXI	QDXI	HXI	QHXI	FXI2	QFXI2	DXI2	QDXI2	HXI2	QHXI2	FXI3S	QFXI3S	DXI3S	QDXI3S	HXI3S	QHXI3S
45055001	ORLEANS	47.990667	1.778167	123	20220101	0.0	1	4.3	1	652	9	14.3	1	1402	9	9.1	1	9.3	1	10.0	1	0.5	9	2.7	9	0	9	2.8	1			4.1	1	140	1	1026	9	6.0	1	150	1	1026	9							5.8	1			1026	9
45055001	ORLEANS	47.990667	1.778167	123	20220102	0.0	1	8.3	1	2217	9	13.3	1	1214	9	11.6	1	10.8	1	5.0	1	7.0	9	7.6	9	0	9	6.9	1			9.9	1	210	1	1407	9	14.5	1	210	1	1520	9							14.1	1			1520	9
45055001	ORLEANS	47.990667	1.778167	123	20220103	7.8	1	10.4	1	400	9	12.5	1	1242	9	11.2	1	11.5	1	2.1	1	10.0	9	10.3	9	0	9	7.4	1			10.4	1	210	1	1708	9	14.5	1	210	1	1916	9							13.9	1			1710	9
45055001	ORLEANS	47.990667	1.778167	123	20220104	4.8	1	8.0	1	832	9	12.2	1	601	9	8.5	1	10.1	1	4.2	1	7.5	9	7.8	9	0	9	7.1	1			13.1	1	210	1	421	9	18.4	1	210	1	342	9							17.8	1			342	9
45055001	ORLEANS	47.990667	1.778167	123	20220105	0.0	1	-0.7	1	709	9	6.1	1	1348	9	1.5	1	2.7	1	6.8	1	-3.9	9	-1.8	9	412	9	4.1	1			6.7	1	270	1	1114	9	10.7	1	300	1	1404	9							10.0	1			1410	9
45055001	ORLEANS	47.990667	1.778167	123	20220106	0.2	1	-3.7	1	739	9	5.9	1	1432	9	1.1	1	1.1	1	9.6	1	-8.7	9	-7.0	9	573	9	2.7	1			6.1	1	200	9	2350	9	8.7	1	200	9	2355	9							8.5	1			2355	9
45055001	ORLEANS	47.990667	1.778167	123	20220107	3.0	1	1.6	1	2222	9	8.5	1	1347	9	5.5	1	5.1	1	6.9	1	1.3	9	1.4	9	0	9	7.5	1			12.0	1	250	9	2055	9	16.9	1	230	1	1758	9							16.2	1			1758	9
45055001	ORLEANS	47.990667	1.778167	123	20220108	6.2	1	2.8	1	215	9	9.5	1	1911	9	6.7	1	6.2	1	6.7	1	0.9	9	1.6	9	0	9	8.1	1			14.5	1	280	1	2111	1	20.7	1	260	9	2008	9												
45055001	ORLEANS	47.990667	1.778167	123	20220109	0.0	1	3.4	1	606	9	8.0	1	1347	9	5.4	1	5.7	1	4.6	1	2.5	9	3.0	9	0	9	4.9	1			10.9	1	260	1	109	9	14.3	1	260	1	309	9							13.8	1			310	9
45055001	ORLEANS	47.990667	1.778167	123	20220110	0.0	1	3.6	1	646	9	7.5	1	1317	9	4.6	1	5.6	1	3.9	1	2.6	9	3.1	9	0	9	2.1	1			4.5	1	110	9	2352	9	6.2	1	110	9	2345	9							6.0	1			2345	9
45055001	ORLEANS	47.990667	1.778167	123	20220111	0.0	1	-0.5	1	1029	9	2.8	1	1336	9	0.4	1	1.2	1	3.3	1	-1.6	9	-0.9	9	526	9	2.5	1			4.6	1	40	1	1534	9	6.3	1	40	1	1532	9							6.0	1			1532	9
45055001	ORLEANS	47.990667	1.778167	123	20220112	0.0	1	-1.6	1	306	9	3.0	1	1641	9	0.5	1	0.7	1	4.6	1	-1.1	9	-1.3	9	730	9	3.2	1			4.8	1	30	9	2118	9	11.6	1	20	9	2110	9							11.0	1			2110	9
45055001	ORLEANS	47.990667	1.778167	123	20220113	0.0	1	0.6	1	625	9	3.1	1	1439	9	1.4	1	1.9	1	2.5	1	-3.7	9	-2.1	9	0	9	5.0	1			7.6	1	50	1	934	9	9.6	1	50	9	2049	9							9.3	1			2047	9
45055001	ORLEANS	47.990667	1.778167	123	20220114	0.0	1	-1.3	1	630	9	2.4	1	1527	9	-0.4	1	0.6	1	3.7	1	-5.0	9	-3.5	9	958	9	1.9	1			3.3	1	80	1	655	9	4.7	1	40	1	252	9							4.5	1			252	9
45055001	ORLEANS	47.990667	1.778167	123	20220115	0.0	1	-4.6	1	449	9	-0.4	1	1401	9	-2.3	1	-2.5	1	4.2	1	-7.2	9	-6.3	9	1440	9	1.9	1			4.4	1	270	9	2300	9	6.2	1	260	9	2323	9							5.9	1			2033	9
